Category,Name,Description,Price,Options
Broasted Chicken,Party Pack for 25,,225,
Broasted Chicken,Party Pack for 50,,450,
Broasted Chicken,Party Pack for 75,,675,
Broasted Chicken,Party Pack for 100,,900,
Broasted Chicken,Chicken Only,,,· 25pc  65 | · 50pc  125 | · 100pc  240
Broasted Chicken,Broasted Wings,,,25pc  55
Fresh Salads,Garden Salad,,,· ½ Pan  25 | · Full Pan  40
Fresh Salads,Caesar Salad,,,· ½ Pan  30 | · Full Pan  45
Fresh Salads,Greek Salad,,,· ½ Pan  35 | · Full Pan  50
Fresh Salads,Fresh Colseslaw,,,· ½ Pan  30 | · Full Pan  45
Extras,Penne W/Tomato Basil,,,· ½ Pan  30 | · Full Pan  55
Extras,Wedge Cut Fries,,,· ½ Pan  30 | · Full Pan  50
Extras,Mac N’ Cheese,,,· ½ Pan  35 | · Full Pan  55
Extras,Mashed Potatoes,,,· ½ Pan  35 | · Full Pan  55
Extras,Thick Cut Onion Rings,,,· ½ Pan  30 | · Full Pan  50
Extras,Sweet Potato Fries,,,· ½ Pan  35 | · Full Pan  50
